Unnamed: 0,FILENAME,real,LR,match,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,dummy,dummy,dummy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,7,7,R,7,2.627347389,3.042076527,3.120706715,1.04943719,1.382086257,0.9754571,1.878681622,1.912215919,0.936239299,1.287059708,0.863551733,0.274820909,0.34167556,1.833420776,2.189038752,0.012124308,0.055360291,0.998392828,-0.495382584,0.867654366,-0.042095082
,7,7,R,7,2.600259934,3.045753418,3.128163826,1.043067894,1.44135752,0.906295388,1.999288819,1.964742998,0.963531258,1.390993077,0.901457662,0.247004473,0.343602996,1.898540847,2.278609251,0.012124308,0.055360291,0.998392828,-0.495382584,0.867654366,-0.042095082
,7,7,R,7,2.598643837,3.059278692,3.131870714,1.082670404,1.444892182,0.860338935,1.973509112,1.951306737,1.006437144,1.383752209,0.907593598,0.249385379,0.348162497,1.95401801,2.300824935,0.003869792,0.033779837,0.999421807,-0.509024494,0.860325083,-0.027107496
,7,7,R,7,2.601236142,3.068932918,3.126208363,1.090629045,1.473750107,0.854716796,1.962619008,1.945508208,1.009513176,1.399621794,0.909790027,0.252444952,0.354816705,1.957972774,2.317692704,0.01842356,0.03841913,0.999091859,-0.506002739,0.862202777,-0.023824345
,7,7,R,7,2.612983946,3.061650047,3.13241713,1.050958615,1.418198615,0.869854872,1.966867695,1.950825624,0.981398691,1.385280269,0.886714416,0.253576808,0.348206824,1.939475961,2.318009509,0.020817184,0.029105363,0.999359556,-0.508335376,0.861037307,-0.014487971
,7,7,R,7,2.600172372,3.061672347,3.11120084,1.074896158,1.370706677,0.932988531,1.969446487,1.957369862,1.017102395,1.354680691,0.923623639,0.262368457,0.348747903,1.95359934,2.272786008,0.043597791,0.021301629,0.998822043,-0.50693674,0.861975129,0.003744258
,7,7,R,7,2.61887057,3.047728119,3.119178034,1.063737759,1.424444745,0.905426681,1.96790089,1.966069209,1.000618701,1.400511444,0.876187282,0.266648092,0.358116959,1.953564165,2.325494374,0.101569074,0.048834622,0.993629158,-0.506223884,0.862351262,0.009363748
,7,7,R,7,2.61293036,3.059054001,3.12376695,1.056539416,1.431911907,0.90364864,1.958782186,1.962494722,0.992547234,1.398922112,0.871393714,0.261656037,0.34963048,1.953047688,2.323712637,0.055984226,0.024923988,0.998120514,-0.507545496,0.861596902,0.006953179
,7,7,R,7,2.61327694,3.065964385,3.123643103,1.048415952,1.373297019,0.901060037,1.963714896,1.941520443,0.991033448,1.353893035,0.889436524,0.261773565,0.353223526,1.978410088,2.33572536,0.049224634,0.022284646,0.998539098,-0.503346645,0.864066882,0.005529708
